id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-2457.4,-1768.9,-1354.4,-946.6,-447.9,-1911.0,-1264.9,-867.7,-593.1,-131.5,-1988.6,-1458.9,-1040.9,-677.6,-286.3,-1793.5,-1151.1,-738.3,-416.9,12.0,-3784.5,-3064.2,-2380.6,-1856.7,-1334.3,-2921.9,-2098.7,-1518.5,-1120.3,-652.7,-2466.9,-1766.9,-1361.0,-998.5,-516.0,-1746.1,-1129.7,-753.8,-415.0,-24.2,8806.2
2,-88.875,56.875,-2490.8,-1786.5,-1355.6,-954.7,-447.8,-1990.9,-1272.0,-874.1,-601.6,-133.0,-2030.4,-1472.4,-1037.1,-678.6,-285.4,-1821.5,-1177.3,-749.5,-420.4,13.4,-3834.6,-3102.9,-2407.5,-1862.1,-1334.6,-2963.6,-2128.0,-1522.0,-1124.4,-644.3,-2485.2,-1785.8,-1365.1,-1001.5,-527.8,-1789.5,-1131.6,-763.4,-433.9,-25.3,8817.9
3,-89.25,56.75,-2541.8,-1805.4,-1400.3,-969.2,-472.9,-2025.3,-1374.3,-937.0,-605.0,-174.5,-2075.9,-1468.5,-1083.9,-718.2,-298.5,-1876.0,-1229.3,-773.4,-439.1,-3.1,-3784.0,-3043.1,-2424.3,-1869.4,-1313.3,-2935.3,-2182.1,-1575.2,-1175.5,-678.0,-2483.5,-1806.7,-1408.9,-1023.0,-552.8,-1825.5,-1202.0,-804.2,-465.2,-41.8,8578.4
4,-89.125,56.75,-2560.0,-1815.5,-1400.1,-972.4,-474.4,-2046.8,-1379.8,-940.4,-608.0,-177.6,-2087.1,-1476.5,-1088.2,-718.2,-295.8,-1886.5,-1236.0,-773.4,-443.4,-3.4,-3797.4,-3055.3,-2435.1,-1878.3,-1314.7,-2956.8,-2187.8,-1578.2,-1178.9,-681.0,-2503.8,-1817.4,-1415.6,-1024.5,-551.9,-1831.5,-1211.3,-807.2,-468.7,-42.9,8590.2
5,-89.0,56.75,-2571.5,-1829.0,-1406.6,-981.0,-475.4,-2059.0,-1389.0,-946.6,-612.7,-180.1,-2093.5,-1492.2,-1092.4,-723.3,-298.0,-1896.6,-1241.6,-779.2,-445.8,-3.8,-3811.6,-3080.6,-2456.6,-1891.4,-1321.8,-2980.5,-2199.2,-1580.0,-1189.9,-685.9,-2510.9,-1832.2,-1427.3,-1032.5,-561.1,-1838.6,-1209.9,-807.4,-468.7,-41.0,8602.3
6,-88.875,56.75,-2598.1,-1835.8,-1414.9,-994.4,-475.4,-2069.6,-1404.2,-956.1,-622.3,-181.5,-2102.2,-1503.9,-1090.8,-730.5,-301.0,-1905.2,-1243.7,-790.2,-458.9,-14.8,-3816.9,-3109.7,-2473.2,-1908.5,-1336.2,-3005.4,-2210.9,-1608.3,-1223.3,-699.2,-2515.7,-1843.3,-1437.5,-1050.3,-561.8,-1847.0,-1211.3,-810.1,-475.3,-39.1,8614.4
7,-88.75,56.75,-2651.3,-1862.7,-1422.8,-996.6,-469.9,-2154.8,-1415.9,-954.1,-622.0,-179.1,-2181.6,-1525.1,-1092.3,-728.2,-302.8,-1929.0,-1274.3,-789.6,-458.4,-6.6,-3903.5,-3142.2,-2484.0,-1912.0,-1335.1,-3097.0,-2251.0,-1607.6,-1225.0,-704.4,-2565.1,-1861.2,-1441.9,-1051.5,-559.9,-1914.8,-1237.8,-821.4,-475.6,-41.3,8619.8
8,-89.375,56.625,-2477.7,-1775.4,-1354.8,-949.0,-444.0,-1982.0,-1322.9,-897.8,-584.6,-124.0,-2015.3,-1442.8,-1043.0,-692.8,-291.2,-1825.7,-1174.1,-742.4,-401.7,7.0,-3763.7,-3003.5,-2352.2,-1819.6,-1297.5,-2947.9,-2136.1,-1528.7,-1128.6,-632.8,-2438.0,-1767.1,-1370.0,-990.0,-525.5,-1788.0,-1136.0,-756.7,-435.5,-13.5,8678.2
9,-89.25,56.625,-2542.2,-1797.5,-1388.2,-960.6,-464.4,-2029.3,-1378.1,-930.9,-600.6,-113.4,-2077.7,-1462.9,-1077.4,-713.8,-293.3,-1876.3,-1230.6,-771.3,-429.9,-7.6,-3787.0,-3014.2,-2393.6,-1847.9,-1294.5,-2942.1,-2178.3,-1559.3,-1163.4,-669.4,-2489.5,-1802.1,-1401.6,-1012.2,-551.1,-1826.3,-1187.6,-792.7,-468.6,-25.5,8566.1
10,-89.125,56.625,-2552.5,-1804.6,-1395.9,-970.7,-470.0,-2043.4,-1385.0,-944.2,-610.5,-180.4,-2092.9,-1470.2,-1081.1,-715.1,-295.8,-1889.0,-1237.5,-777.4,-436.1,-3.8,-3797.6,-3037.6,-2417.2,-1867.6,-1299.0,-2958.0,-2192.0,-1563.3,-1174.5,-668.4,-2499.3,-1817.0,-1412.0,-1025.5,-550.6,-1833.5,-1202.2,-810.5,-468.8,-35.5,8577.9
11,-89.0,56.625,-2556.9,-1805.3,-1398.4,-972.4,-465.4,-2068.1,-1382.5,-937.4,-606.5,-184.5,-2096.3,-1477.5,-1084.0,-710.8,-294.6,-1895.4,-1234.0,-782.0,-436.4,-5.0,-3812.0,-3049.0,-2424.3,-1871.8,-1301.7,-2974.5,-2195.5,-1569.4,-1181.1,-673.0,-2506.4,-1815.3,-1406.6,-1028.0,-553.3,-1841.8,-1193.4,-808.6,-469.8,-38.8,8589.8
12,-88.875,56.625,-2565.0,-1811.2,-1396.4,-973.5,-468.3,-2080.1,-1388.1,-940.2,-613.2,-157.9,-2104.3,-1485.6,-1088.0,-710.8,-284.6,-1908.8,-1238.1,-780.3,-438.4,-4.4,-3820.4,-3055.0,-2426.6,-1864.1,-1305.3,-2996.0,-2203.1,-1577.6,-1185.2,-673.6,-2512.9,-1820.4,-1412.8,-1028.6,-551.2,-1849.9,-1181.9,-794.7,-469.6,-37.6,8601.9
13,-88.75,56.625,-2578.4,-1830.5,-1406.8,-979.3,-468.8,-2076.9,-1398.9,-949.5,-618.6,-158.5,-2103.1,-1499.8,-1090.1,-722.5,-286.9,-1908.3,-1236.3,-788.3,-443.3,-10.6,-3817.4,-3065.8,-2445.4,-1890.6,-1313.0,-3001.5,-2199.1,-1599.1,-1202.6,-693.6,-2511.1,-1820.0,-1423.3,-1037.7,-553.7,-1849.3,-1181.9,-801.1,-472.9,-35.1,8605.1
14,-88.625,56.625,-2548.7,-1834.2,-1411.8,-988.7,-482.7,-2031.0,-1381.6,-951.1,-623.2,-160.0,-2067.6,-1488.1,-1088.8,-724.8,-299.0,-1890.5,-1232.5,-779.2,-450.7,-10.4,-3792.4,-3083.8,-2463.4,-1899.1,-1323.5,-2988.8,-2190.6,-1592.8,-1198.5,-692.8,-2481.5,-1817.8,-1428.6,-1037.0,-555.7,-1849.9,-1188.2,-798.0,-463.6,-51.0,8609.6
15,-88.5,56.625,-2550.7,-1837.8,-1410.8,-990.9,-479.0,-2051.6,-1377.8,-950.5,-608.6,-162.9,-2082.7,-1489.5,-1086.1,-728.8,-300.5,-1873.4,-1233.6,-784.0,-459.0,-9.1,-3802.1,-3099.3,-2471.1,-1898.9,-1334.9,-2996.4,-2192.0,-1594.8,-1198.0,-695.1,-2496.1,-1823.3,-1426.4,-1037.5,-552.4,-1849.4,-1187.9,-798.9,-468.9,-48.1,8615.1
16,-88.375,56.625,-2570.9,-1835.0,-1415.0,-990.2,-476.6,-2054.5,-1376.7,-940.5,-612.2,-159.8,-2076.4,-1492.1,-1084.3,-728.7,-303.3,-1874.3,-1230.4,-782.9,-462.0,-11.2,-3802.6,-3100.0,-2470.5,-1901.9,-1331.8,-3008.0,-2177.4,-1594.2,-1198.3,-695.9,-2497.3,-1819.4,-1422.9,-1041.8,-557.6,-1855.9,-1190.2,-798.2,-465.9,-44.9,8622.4
17,-89.625,56.5,-2465.1,-1744.1,-1356.8,-948.9,-453.4,-1952.4,-1344.8,-908.1,-578.2,-113.6,-2031.5,-1424.4,-1059.3,-696.8,-284.1,-1793.5,-1199.4,-757.4,-414.3,0.1,-3669.4,-2933.8,-2344.5,-1807.0,-1260.2,-2830.4,-2084.8,-1519.1,-1144.9,-650.2,-2372.2,-1749.6,-1354.8,-999.8,-524.5,-1761.6,-1143.4,-779.4,-454.3,-16.4,8523.2
18,-89.5,56.5,-2502.6,-1766.6,-1368.7,-956.0,-460.2,-1966.6,-1351.2,-927.3,-592.7,-107.3,-2041.4,-1436.4,-1074.3,-712.8,-296.3,-1827.3,-1207.1,-764.9,-423.0,-3.0,-3723.2,-2973.0,-2371.6,-1833.7,-1276.4,-2862.2,-2110.7,-1539.7,-1156.0,-667.4,-2444.8,-1776.9,-1368.4,-1005.9,-556.9,-1781.8,-1168.0,-786.8,-458.6,-23.0,8534.7
19,-89.375,56.5,-2523.5,-1778.5,-1372.5,-961.2,-465.5,-2020.5,-1360.5,-927.3,-595.0,-110.1,-2071.8,-1444.1,-1072.9,-714.8,-293.5,-1860.7,-1216.6,-770.2,-420.6,-6.3,-3750.0,-2990.8,-2377.3,-1833.7,-1281.9,-2914.3,-2160.9,-1546.2,-1161.0,-673.1,-2482.2,-1786.8,-1373.6,-1009.9,-556.4,-1817.2,-1174.9,-788.8,-461.9,-23.0,8546.1
20,-89.25,56.5,-2542.8,-1788.6,-1382.1,-962.0,-467.9,-2033.2,-1378.8,-925.5,-596.0,-113.1,-2082.2,-1451.9,-1081.0,-718.5,-292.4,-1878.0,-1231.4,-772.1,-424.4,-5.2,-3787.8,-3011.0,-2386.7,-1839.5,-1288.5,-2940.4,-2182.2,-1564.9,-1163.0,-663.0,-2493.8,-1800.7,-1387.2,-1013.5,-552.5,-1823.0,-1191.8,-791.0,-469.5,-23.7,8557.9
21,-89.125,56.5,-2552.5,-1794.3,-1384.7,-966.4,-469.7,-2048.3,-1375.9,-928.9,-600.3,-115.0,-2090.7,-1458.4,-1077.7,-711.0,-292.1,-1890.2,-1228.0,-774.5,-433.6,-3.5,-3798.8,-3020.8,-2388.5,-1842.8,-1292.4,-2962.9,-2191.4,-1569.4,-1166.3,-663.9,-2504.4,-1802.7,-1384.4,-1015.4,-550.9,-1834.0,-1183.6,-790.7,-468.8,-25.3,8569.6
22,-89.0,56.5,-2560.0,-1802.0,-1393.1,-970.6,-475.4,-2065.0,-1383.4,-938.9,-606.5,-153.1,-2096.0,-1468.8,-1081.8,-711.6,-294.2,-1898.6,-1235.3,-780.3,-439.3,-3.0,-3816.4,-3037.3,-2415.6,-1858.1,-1296.5,-2979.4,-2202.4,-1573.5,-1183.0,-666.1,-2511.0,-1806.8,-1409.1,-1025.8,-547.3,-1843.5,-1184.3,-791.0,-469.8,-27.3,8581.5
23,-88.875,56.5,-2567.9,-1808.1,-1394.0,-970.8,-472.8,-2087.0,-1390.0,-941.9,-613.0,-156.5,-2100.0,-1479.0,-1081.0,-711.6,-292.9,-1911.5,-1240.5,-780.9,-441.4,-8.1,-3824.4,-3046.1,-2420.1,-1860.0,-1299.7,-2997.0,-2210.1,-1575.6,-1185.0,-679.0,-2517.2,-1814.1,-1408.5,-1028.1,-546.9,-1851.8,-1184.8,-792.9,-465.8,-28.3,8593.3
24,-88.75,56.5,-2548.6,-1810.6,-1394.6,-973.5,-473.2,-2038.5,-1363.2,-936.0,-610.8,-157.9,-2071.0,-1476.9,-1079.6,-715.9,-295.8,-1884.4,-1235.1,-771.7,-439.5,-8.4,-3778.9,-3039.3,-2423.4,-1867.1,-1301.3,-2976.7,-2188.8,-1574.8,-1184.5,-694.5,-2480.6,-1808.3,-1410.8,-1029.1,-544.2,-1849.7,-1182.8,-792.6,-466.5,-34.7,8595.6
