id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,63.1,417.6,752.7,1207.9,2099.7,-71.8,127.0,297.0,622.9,1102.5,14.9,273.0,579.6,977.7,1623.7,-100.8,145.8,404.5,786.9,1292.8,598.7,1189.3,1876.5,2768.0,3810.2,143.5,429.1,740.5,1257.8,2289.2,107.7,469.5,829.3,1314.7,2110.6,-79.2,147.1,424.9,827.0,1482.8,216.0
2,-88.875,56.875,63.6,419.6,762.0,1214.1,2125.9,-78.0,123.7,290.9,625.3,1143.8,6.9,280.0,589.2,979.9,1634.0,-99.1,141.5,411.8,789.3,1297.8,595.2,1189.3,1887.1,2790.5,3834.1,123.2,427.5,734.8,1282.3,2323.0,101.5,467.3,835.0,1324.3,2133.3,-76.4,146.9,425.9,833.1,1500.7,215.3
3,-89.25,56.75,81.7,460.2,801.1,1230.5,2080.6,-42.0,190.8,414.5,768.3,1319.2,14.5,310.5,600.0,959.4,1576.2,-96.4,157.4,429.9,793.9,1314.8,597.0,1211.3,1914.1,2789.6,3883.0,158.9,534.0,903.4,1435.3,2425.4,136.1,508.4,866.4,1331.2,2037.1,-78.4,192.7,458.7,852.1,1541.7,325.7
4,-89.125,56.75,79.2,466.7,818.4,1240.5,2102.9,-40.5,198.5,402.9,778.2,1325.0,14.7,317.5,606.6,968.0,1592.0,-93.8,163.0,432.4,804.3,1323.1,600.5,1222.1,1921.0,2818.4,3904.6,159.7,544.0,911.0,1445.4,2468.6,133.9,509.4,870.7,1354.3,2055.6,-82.2,189.6,461.6,853.8,1544.9,319.7
5,-89.0,56.75,77.9,470.0,825.3,1262.0,2131.5,-41.9,184.0,411.2,782.7,1327.2,15.4,318.9,612.2,989.7,1625.4,-91.9,162.4,439.2,808.8,1339.6,602.3,1240.9,1952.9,2844.4,3926.5,161.3,546.7,908.1,1460.3,2488.5,129.4,516.9,884.5,1355.2,2075.9,-78.1,197.2,475.4,869.6,1550.4,303.9
6,-88.875,56.75,71.6,474.2,832.6,1274.7,2156.4,-23.1,189.0,423.8,781.2,1342.0,18.0,317.9,614.6,1001.6,1623.9,-92.1,165.9,440.2,814.9,1350.3,605.8,1252.8,1973.4,2869.6,3953.8,147.9,557.6,923.3,1473.7,2511.0,142.4,520.8,893.3,1364.7,2091.6,-66.8,195.6,476.5,877.3,1544.1,297.2
7,-88.75,56.75,70.6,470.2,837.7,1289.3,2185.6,-23.2,190.8,406.8,773.2,1334.7,15.2,323.8,618.0,1010.3,1643.4,-91.2,164.0,442.6,825.2,1353.4,617.7,1259.8,1973.4,2895.3,3979.9,146.3,551.6,909.0,1493.3,2551.0,134.2,521.5,895.7,1371.1,2123.0,-64.4,194.5,476.8,890.1,1566.8,292.4
8,-89.375,56.625,68.7,431.0,793.7,1223.0,2084.1,-38.2,155.9,349.5,692.2,1189.4,4.8,300.5,605.3,972.0,1611.3,-90.3,155.9,427.4,812.5,1295.3,551.7,1176.6,1869.8,2753.8,3804.9,124.1,449.4,782.4,1308.8,2296.9,112.2,483.4,849.7,1316.1,2128.9,-69.1,159.5,465.6,845.5,1540.1,254.1
9,-89.25,56.625,82.5,448.9,811.7,1223.9,2064.9,-32.1,196.5,411.9,774.9,1327.9,15.6,309.4,608.3,956.3,1575.3,-102.8,165.8,423.6,798.4,1318.0,583.0,1193.1,1912.6,2775.3,3881.7,150.9,523.5,917.6,1449.3,2447.3,132.5,507.6,855.0,1326.8,2021.5,-74.1,193.8,464.3,851.9,1527.5,335.2
10,-89.125,56.625,90.8,459.5,817.3,1236.8,2095.1,-39.1,199.4,411.0,790.3,1330.1,11.9,319.7,610.9,971.2,1586.5,-103.0,165.5,432.0,802.9,1333.6,588.8,1216.3,1932.4,2811.0,3895.8,159.0,536.6,929.6,1469.2,2487.6,137.5,517.2,871.6,1336.1,2030.3,-74.5,197.0,468.6,859.8,1529.5,337.0
