id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,0.8,4.7,7.3,10.1,14.4,-1.2,2.3,4.8,7.4,11.3,-0.3,3.1,5.6,8.0,11.8,-1.7,1.7,3.9,6.0,9.9,5.2,9.4,12.8,16.6,21.7,2.3,5.5,8.1,11.6,15.4,1.0,4.6,7.1,9.9,13.9,-1.7,1.7,3.9,6.1,9.7,-32.1
2,-88.875,56.875,0.8,4.7,7.3,10.1,14.6,-1.3,2.4,4.7,7.5,11.5,-0.2,3.2,5.6,8.0,12.0,-1.6,1.8,4.0,6.1,10.1,5.2,9.4,12.9,16.9,21.9,2.4,5.7,8.1,11.8,15.5,1.0,4.7,7.2,9.9,14.0,-1.7,1.8,3.9,6.2,10.0,-32.1
3,-89.25,56.75,0.9,4.8,7.4,10.2,14.6,-1.1,2.4,5.0,7.7,11.2,-0.4,3.1,5.6,8.0,11.8,-1.9,1.7,4.0,6.1,9.9,5.1,9.5,13.2,16.6,22.0,1.9,5.7,8.6,11.9,15.9,0.7,4.6,7.1,9.9,13.8,-2.0,1.8,3.9,6.2,9.9,-33.7
4,-89.125,56.75,1.0,4.8,7.4,10.3,14.6,-1.1,2.5,4.9,7.7,11.2,-0.3,3.1,5.6,8.1,11.8,-2.1,1.7,4.0,6.1,9.9,5.1,9.5,13.2,16.7,22.1,1.9,5.7,8.6,11.9,15.9,0.7,4.6,7.2,9.9,13.9,-2.0,1.9,3.9,6.2,9.9,-33.7
5,-89.0,56.75,0.9,4.8,7.5,10.3,14.6,-1.1,2.5,4.9,7.7,11.2,-0.2,3.3,5.6,8.1,12.0,-1.9,1.7,4.0,6.1,10.0,5.1,9.6,13.3,16.8,22.2,2.0,5.7,8.5,12.0,15.9,0.8,4.7,7.3,10.0,14.0,-1.9,1.9,3.9,6.2,10.0,-33.6
6,-88.875,56.75,1.0,4.8,7.5,10.3,14.7,-1.1,2.6,5.0,7.6,11.3,-0.2,3.3,5.7,8.2,12.1,-1.9,1.8,4.0,6.2,10.0,5.1,9.6,13.3,17.0,22.2,1.9,5.8,8.6,12.0,16.1,1.0,4.8,7.3,10.0,14.0,-1.9,1.9,4.0,6.2,10.0,-33.6
7,-88.75,56.75,0.9,4.8,7.6,10.4,14.9,-1.2,2.6,5.1,7.8,11.6,-0.2,3.3,5.7,8.3,12.3,-1.9,1.8,4.1,6.3,10.3,5.2,9.7,13.5,17.1,22.3,1.9,5.8,8.6,12.5,16.1,1.0,4.8,7.4,10.2,14.4,-1.8,1.9,4.1,6.3,10.2,-33.5
8,-89.375,56.625,0.8,4.5,7.0,9.9,14.2,-1.2,2.2,4.7,7.3,11.3,-0.5,3.0,5.3,7.8,11.4,-1.9,1.6,3.9,5.9,9.7,4.9,9.2,12.6,16.1,21.5,1.7,5.6,8.2,11.6,15.5,0.6,4.4,6.9,9.6,13.4,-2.1,1.7,3.7,5.9,9.7,-32.8
9,-89.25,56.625,0.8,4.6,7.3,10.1,14.6,-1.1,2.4,4.9,7.6,11.2,-0.6,3.1,5.5,8.0,11.7,-1.8,1.6,4.0,6.0,9.8,5.1,9.5,12.9,16.4,21.9,2.0,5.8,8.6,11.9,15.7,0.6,4.5,7.0,9.8,13.8,-2.0,1.8,3.9,6.1,10.0,-33.8
10,-89.125,56.625,0.8,4.7,7.4,10.2,14.6,-1.1,2.5,4.9,7.7,11.1,-0.4,3.0,5.6,8.0,11.8,-2.1,1.7,4.0,6.1,9.9,5.1,9.5,13.1,16.5,21.9,1.9,5.8,8.6,11.9,16.0,0.7,4.6,7.1,9.9,13.8,-2.1,1.8,3.9,6.1,9.9,-33.8
