id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-2.8,-0.7,1.4,3.4,7.0,-3.5,-1.3,0.7,2.7,5.9,-3.5,-1.2,0.5,2.8,6.1,-3.3,-0.9,0.8,2.8,6.3,-2.3,0.3,2.2,4.4,8.2,-2.9,-0.5,1.3,3.4,6.2,-3.3,-0.7,1.3,3.4,6.9,-3.4,-1.3,0.4,2.4,5.4,5.7
2,-88.875,56.875,-2.8,-0.6,1.4,3.4,7.1,-3.6,-1.4,0.7,2.6,5.9,-3.5,-1.1,0.6,2.9,6.4,-3.1,-0.9,0.8,3.0,6.3,-2.5,0.3,2.3,4.5,8.0,-2.7,-0.5,1.3,3.4,6.3,-3.1,-0.7,1.3,3.4,7.0,-3.5,-1.3,0.5,2.5,5.4,5.6
3,-89.25,56.75,-2.9,-0.8,1.1,3.2,6.7,-3.3,-1.2,0.6,2.3,5.2,-3.5,-1.2,0.7,2.7,6.0,-2.8,-0.8,0.8,3.0,6.2,-2.3,-0.0,2.0,4.0,7.5,-3.2,-0.9,0.9,2.8,5.6,-3.0,-0.9,1.0,3.2,6.7,-3.4,-1.3,0.3,2.2,5.4,5.1
4,-89.125,56.75,-2.9,-0.8,1.1,3.2,6.7,-3.3,-1.3,0.5,2.3,5.3,-3.4,-1.2,0.7,2.8,5.8,-2.9,-0.9,0.8,2.9,6.1,-2.3,0.0,2.0,4.1,7.3,-3.2,-0.9,0.9,2.8,5.6,-3.2,-0.8,1.1,3.1,6.9,-3.4,-1.3,0.3,2.3,5.3,5.1
5,-89.0,56.75,-3.0,-0.7,1.2,3.3,6.6,-3.3,-1.3,0.3,2.3,5.3,-3.4,-1.2,0.7,2.8,5.9,-3.1,-1.0,0.8,2.9,6.0,-2.3,0.0,1.9,4.0,7.4,-3.3,-0.9,0.9,2.9,5.7,-3.2,-0.8,1.0,3.0,7.0,-3.3,-1.3,0.4,2.3,5.3,5.2
6,-88.875,56.75,-2.8,-0.7,1.2,3.3,6.7,-3.2,-1.2,0.3,2.2,5.4,-3.4,-1.2,0.7,2.8,5.9,-3.2,-1.0,0.8,3.0,6.1,-2.3,0.0,2.0,4.1,7.4,-3.0,-0.8,1.0,2.8,5.7,-3.2,-0.8,1.0,3.1,6.8,-3.2,-1.3,0.4,2.3,5.3,5.1
7,-88.75,56.75,-3.1,-0.7,1.2,3.3,6.8,-3.2,-1.1,0.3,2.5,5.5,-3.4,-1.1,0.8,2.8,6.0,-3.1,-1.0,0.8,3.0,6.1,-2.3,0.0,2.0,4.2,7.5,-3.1,-0.8,1.0,2.9,5.6,-3.2,-0.8,1.1,3.3,6.9,-3.3,-1.3,0.5,2.3,5.3,5.1
8,-89.375,56.625,-3.0,-0.7,1.3,3.5,7.0,-3.4,-1.3,0.4,2.4,5.7,-3.6,-1.2,0.6,2.7,6.3,-3.0,-1.0,1.0,3.0,6.2,-2.3,0.2,2.2,4.4,7.8,-2.7,-0.6,1.3,3.2,6.1,-2.8,-0.6,1.3,3.3,7.0,-3.4,-1.3,0.4,2.3,5.4,5.6
9,-89.25,56.625,-2.8,-0.8,1.1,3.3,6.6,-3.3,-1.3,0.6,2.3,5.1,-3.5,-1.2,0.7,2.8,6.1,-3.1,-0.9,0.8,3.0,6.1,-2.3,0.0,2.0,4.1,7.5,-3.2,-1.0,1.0,2.7,5.7,-3.0,-0.8,1.1,3.1,7.0,-3.3,-1.3,0.3,2.3,5.3,5.1
10,-89.125,56.625,-2.8,-0.7,1.1,3.3,6.7,-3.3,-1.2,0.6,2.3,5.2,-3.4,-1.2,0.8,2.8,6.1,-3.0,-0.8,0.9,3.0,6.3,-2.3,0.1,2.0,4.2,7.4,-3.2,-0.8,0.9,2.8,5.7,-3.2,-0.7,1.1,3.2,7.0,-3.2,-1.3,0.3,2.3,5.4,5.2
11,-89.0,56.625,-3.1,-0.7,1.2,3.3,6.9,-3.3,-1.2,0.4,2.4,5.1,-3.4,-1.2,0.8,2.8,5.9,-3.1,-0.9,0.8,3.1,6.2,-2.3,0.2,2.0,4.1,7.4,-3.2,-0.8,0.9,2.8,5.8,-3.1,-0.7,1.2,3.2,7.0,-3.3,-1.3,0.4,2.3,5.3,5.1
12,-88.875,56.625,-3.0,-0.8,1.2,3.4,6.7,-3.2,-1.2,0.4,2.3,5.0,-3.4,-1.2,0.7,2.7,5.9,-3.0,-0.8,0.8,3.0,6.3,-2.3,0.2,2.1,4.2,7.4,-3.2,-0.8,1.0,2.8,5.7,-3.1,-0.8,1.2,3.2,6.9,-3.4,-1.3,0.4,2.3,5.3,4.9
