id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-55.3,-10.1,25.5,70.0,158.2,-79.4,-26.0,14.9,64.3,142.6,-64.0,-20.4,11.7,52.4,132.4,-58.0,-16.4,13.9,50.3,126.3,-38.5,4.6,41.4,91.2,193.2,-68.0,-12.8,33.1,89.1,163.4,-56.4,-12.3,20.4,61.5,151.6,-62.4,-22.7,6.4,41.4,111.0,119.4
2,-88.875,56.875,-53.8,-9.8,25.0,70.8,157.8,-81.0,-26.4,16.6,64.9,151.2,-64.5,-20.0,11.1,54.5,132.9,-56.2,-15.8,14.7,50.1,123.4,-38.0,4.5,42.3,90.7,192.4,-64.4,-12.8,32.9,87.7,160.1,-59.0,-11.8,20.7,62.4,152.8,-60.1,-21.3,6.8,41.8,113.8,119.2
3,-89.25,56.75,-59.4,-13.5,21.8,67.1,147.3,-80.2,-26.0,18.3,58.5,147.3,-65.1,-20.6,12.2,51.0,128.3,-58.9,-16.2,11.8,51.3,122.0,-44.5,0.3,37.3,86.4,180.4,-73.2,-15.6,21.9,71.8,157.9,-61.5,-13.6,18.0,58.7,151.6,-70.0,-24.0,5.6,41.8,110.5,114.3
4,-89.125,56.75,-58.4,-13.8,21.2,67.5,146.7,-78.3,-28.8,18.6,60.3,143.8,-64.7,-20.8,12.6,51.1,130.7,-58.2,-15.2,11.9,51.1,121.2,-44.9,0.8,36.8,85.4,177.9,-76.6,-17.8,20.9,71.0,157.5,-61.6,-13.0,18.7,58.0,150.1,-70.0,-24.3,5.6,41.4,108.9,114.1
5,-89.0,56.75,-57.8,-13.1,22.1,69.0,149.8,-81.8,-30.3,12.1,60.2,141.8,-64.2,-19.9,11.6,51.6,130.2,-60.1,-15.8,13.6,51.6,121.3,-46.2,1.2,36.3,86.3,176.9,-75.9,-16.9,21.6,71.2,158.2,-61.9,-13.6,18.3,57.7,148.9,-69.3,-23.8,5.9,41.5,106.4,114.8
6,-88.875,56.75,-57.7,-13.0,22.9,67.9,148.1,-82.1,-31.1,11.3,60.6,143.2,-65.6,-20.3,11.1,51.6,129.4,-61.4,-16.4,14.0,50.5,123.8,-44.9,1.5,37.0,88.0,175.3,-70.2,-16.7,20.6,68.5,156.8,-60.7,-13.2,18.7,58.6,147.5,-67.4,-23.9,5.3,41.7,108.4,114.2
7,-88.75,56.75,-57.9,-12.8,22.5,68.3,147.2,-82.1,-30.3,12.8,61.9,142.8,-64.8,-19.8,12.9,51.4,128.1,-61.4,-16.4,13.4,51.6,123.3,-44.2,1.1,37.0,88.0,176.0,-70.9,-17.9,21.9,71.4,161.8,-61.5,-12.9,18.7,60.1,148.6,-68.2,-23.2,5.2,42.6,105.4,113.9
8,-89.375,56.625,-54.1,-12.2,23.0,68.9,150.3,-78.3,-27.4,15.5,60.6,143.0,-61.6,-20.7,11.4,53.3,131.1,-59.4,-15.9,14.6,50.0,122.4,-41.0,3.4,40.3,88.8,183.8,-62.5,-14.6,27.2,82.5,163.2,-55.2,-11.9,20.5,61.6,148.9,-59.9,-23.1,5.5,40.5,110.6,116.3
9,-89.25,56.625,-59.5,-13.6,20.9,67.3,147.2,-80.7,-29.4,16.6,61.0,149.0,-65.2,-20.6,12.1,52.7,128.0,-61.4,-16.8,12.9,51.4,120.4,-44.1,1.3,37.5,87.1,182.3,-76.9,-18.7,21.2,70.4,161.5,-60.3,-14.1,19.1,60.0,150.3,-69.1,-24.4,6.7,43.1,107.4,114.7
10,-89.125,56.625,-59.5,-12.7,22.5,67.6,147.2,-82.3,-29.8,15.5,62.1,146.1,-65.8,-20.3,13.5,52.1,130.0,-60.5,-15.5,14.4,52.6,120.2,-45.3,1.4,37.6,88.8,180.6,-77.2,-16.6,25.1,69.8,159.5,-60.7,-13.3,20.1,59.6,149.9,-67.8,-24.3,5.4,42.7,108.2,115.9
11,-89.0,56.625,-58.2,-14.1,22.7,68.5,150.1,-81.2,-31.3,13.2,61.7,145.9,-64.7,-20.5,12.4,51.9,130.6,-60.8,-16.3,14.0,53.0,121.2,-45.9,1.5,38.8,87.6,175.8,-72.7,-17.4,22.7,70.0,161.9,-62.8,-13.3,19.8,58.7,152.1,-69.0,-23.8,5.5,42.0,108.2,114.4
12,-88.875,56.625,-57.8,-13.8,23.2,69.3,151.5,-80.3,-31.2,14.8,59.9,145.5,-65.1,-20.3,12.5,51.6,128.9,-60.8,-17.1,14.5,53.3,125.1,-46.5,0.7,38.2,88.4,172.7,-72.1,-17.9,20.2,71.6,160.5,-61.9,-13.3,19.8,59.4,149.6,-69.5,-24.6,5.1,41.8,105.9,112.3
13,-88.75,56.625,-57.1,-13.9,24.0,69.7,151.0,-81.2,-29.3,15.1,59.3,145.4,-63.7,-20.2,13.1,51.6,128.3,-61.0,-16.9,14.4,52.5,124.5,-43.8,1.1,38.9,88.2,179.2,-71.9,-17.8,22.2,70.0,158.3,-60.7,-14.0,19.5,60.8,148.2,-67.0,-23.4,5.8,42.3,103.7,112.7
14,-88.625,56.625,-57.2,-13.9,22.9,68.7,150.8,-81.5,-31.8,15.5,61.3,145.3,-62.9,-19.6,13.1,51.6,127.5,-60.8,-17.6,14.7,52.4,123.0,-44.3,1.6,38.8,89.3,178.1,-69.5,-18.7,21.4,69.0,159.8,-59.5,-14.1,19.3,59.9,149.4,-67.1,-23.3,6.9,42.2,105.4,112.4
15,-88.5,56.625,-57.7,-14.5,23.1,69.2,151.4,-82.8,-31.0,15.6,61.1,143.0,-63.1,-19.7,12.7,52.0,126.2,-59.3,-16.7,15.2,51.6,123.6,-43.7,2.8,39.3,90.4,176.3,-69.2,-18.7,21.1,70.7,161.6,-59.1,-13.6,19.8,59.8,145.5,-66.5,-23.5,7.6,42.5,104.9,112.0
16,-88.375,56.625,-57.7,-13.6,23.1,68.6,147.5,-82.6,-30.5,15.4,62.1,143.0,-62.7,-20.1,12.5,51.0,126.8,-59.3,-16.4,15.0,52.2,123.2,-43.7,2.1,39.2,91.3,175.5,-67.6,-19.0,25.3,71.7,163.0,-59.2,-12.7,20.6,59.4,145.2,-66.2,-22.7,9.5,42.5,103.1,110.7
17,-89.625,56.5,-58.0,-13.0,21.9,67.8,146.7,-81.1,-30.8,14.7,59.6,151.5,-66.9,-23.2,12.5,52.8,132.1,-63.4,-18.2,13.8,51.8,124.5,-43.5,0.4,38.5,91.5,180.3,-76.4,-20.0,22.3,73.1,160.4,-61.3,-13.9,18.2,60.5,152.8,-70.3,-25.1,6.2,43.0,109.4,117.1
18,-89.5,56.5,-57.9,-13.3,22.1,68.0,148.5,-85.0,-28.5,16.3,61.9,148.7,-65.9,-22.7,12.5,52.3,131.9,-62.9,-17.6,12.8,52.2,123.5,-44.6,1.3,37.8,88.6,183.3,-77.2,-19.5,22.5,70.9,156.2,-61.0,-13.8,18.0,61.1,151.8,-72.8,-24.9,5.4,41.4,107.2,117.2
