id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-11.8,-7.2,-3.4,1.3,11.5,-11.0,-6.9,-3.1,2.1,16.9,-11.5,-7.1,-3.3,1.9,13.0,-11.8,-6.7,-2.8,2.4,13.6,-12.5,-8.5,-4.6,0.4,11.1,-12.0,-7.1,-3.2,2.0,17.3,-12.0,-7.8,-4.0,1.4,12.3,-11.4,-7.1,-3.3,2.7,14.8,23.5
2,-88.875,56.875,-11.8,-7.1,-3.4,1.4,11.9,-11.4,-7.0,-3.1,2.1,18.0,-11.4,-7.2,-3.4,2.1,13.1,-11.9,-7.0,-2.9,2.6,13.6,-12.6,-8.5,-4.8,0.2,11.4,-12.1,-7.0,-3.0,2.2,17.9,-11.9,-8.0,-4.0,1.4,12.6,-11.3,-7.1,-3.2,2.8,14.8,23.8
3,-89.25,56.75,-11.6,-6.8,-3.0,1.6,11.2,-10.0,-6.4,-3.1,2.4,16.5,-11.6,-6.9,-3.0,2.0,12.7,-11.1,-6.5,-2.7,2.3,12.6,-12.6,-8.4,-4.4,0.4,11.2,-11.3,-6.8,-3.4,1.3,14.2,-11.8,-7.3,-3.6,1.3,11.4,-11.1,-6.8,-2.8,2.4,12.9,23.1
4,-89.125,56.75,-11.6,-7.0,-3.1,1.6,11.1,-10.1,-6.4,-3.0,2.1,16.1,-11.6,-7.0,-2.9,2.1,12.5,-11.0,-6.5,-2.6,2.4,12.8,-12.5,-8.3,-4.4,0.3,10.8,-11.4,-6.9,-3.3,1.6,13.0,-11.9,-7.4,-3.8,1.1,11.7,-11.3,-6.9,-2.8,2.6,13.0,23.5
5,-89.0,56.75,-11.8,-7.1,-3.1,1.8,11.3,-10.1,-6.1,-3.0,2.5,16.7,-11.5,-7.1,-3.0,2.1,12.9,-11.1,-6.8,-2.7,2.2,12.7,-12.6,-8.3,-4.3,0.3,10.9,-11.6,-6.9,-3.3,1.6,12.7,-11.6,-7.6,-3.7,1.4,12.7,-11.2,-7.1,-2.9,2.6,12.7,23.5
6,-88.875,56.75,-11.8,-7.1,-3.1,1.6,11.0,-10.3,-6.2,-3.2,2.4,16.3,-11.4,-7.0,-2.9,2.4,12.6,-11.2,-6.5,-2.8,2.5,12.8,-12.5,-8.3,-4.3,0.4,10.8,-11.6,-7.2,-3.4,1.4,12.7,-11.8,-7.5,-3.6,1.6,12.3,-11.3,-6.9,-2.8,2.6,12.9,23.4
7,-88.75,56.75,-11.9,-7.0,-3.0,1.6,11.3,-10.2,-6.2,-3.2,2.4,17.7,-11.5,-7.2,-3.0,2.4,12.5,-11.5,-7.0,-2.8,2.4,13.2,-12.8,-8.4,-4.4,0.3,10.9,-11.8,-7.2,-3.3,1.3,13.3,-11.7,-7.7,-3.6,1.6,12.4,-11.5,-7.1,-2.9,2.5,12.8,23.4
8,-89.375,56.625,-11.6,-6.9,-3.2,1.8,11.6,-10.1,-5.9,-2.8,2.9,15.9,-11.3,-6.8,-2.9,2.1,12.5,-11.6,-6.8,-2.9,2.1,12.9,-12.4,-8.1,-4.4,0.5,11.1,-11.4,-7.1,-2.8,2.2,14.1,-11.8,-7.5,-3.8,1.3,11.6,-11.5,-7.0,-2.9,2.3,13.9,21.7
9,-89.25,56.625,-11.4,-7.1,-3.2,1.6,10.6,-10.5,-6.6,-3.1,2.3,16.3,-11.6,-7.1,-3.1,1.9,11.9,-11.1,-6.7,-2.8,1.8,12.1,-12.2,-8.1,-4.4,0.3,10.5,-11.8,-6.8,-3.5,1.3,13.2,-11.6,-7.6,-3.8,1.2,11.4,-11.4,-6.9,-2.9,2.3,12.8,23.1
10,-89.125,56.625,-11.3,-7.1,-3.1,1.6,10.3,-10.2,-6.3,-2.9,2.1,16.3,-11.6,-7.1,-3.1,2.2,12.2,-11.1,-6.9,-2.7,2.1,12.0,-12.3,-8.3,-4.5,0.1,10.9,-11.3,-6.9,-3.4,1.5,11.5,-11.7,-7.6,-3.6,1.2,12.1,-11.2,-6.9,-2.8,2.2,12.6,23.5
