id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,-3.1,-1.2,0.2,2.0,6.1,-3.9,-1.6,0.2,2.3,8.3,-3.1,-1.3,0.3,2.0,6.2,-3.1,-1.2,0.2,2.1,6.2,-2.7,-0.8,0.6,2.6,7.9,-2.8,-0.8,0.9,3.3,9.0,-2.9,-1.1,0.3,2.0,6.3,-3.2,-1.3,0.2,2.0,6.4,8.4
2,-88.875,56.875,-3.0,-1.2,0.2,2.1,6.2,-3.8,-1.6,0.2,2.3,7.2,-3.0,-1.3,0.2,2.1,6.2,-3.1,-1.1,0.2,2.1,6.2,-2.7,-0.8,0.6,2.4,8.1,-2.8,-0.8,1.0,3.3,9.3,-2.9,-1.1,0.2,2.1,6.5,-3.1,-1.3,0.2,2.1,6.5,8.5
3,-89.25,56.75,-2.1,-0.9,0.1,1.4,4.3,-2.0,-0.9,0.0,1.1,4.1,-2.2,-1.0,0.1,1.4,4.5,-2.1,-0.9,0.2,1.6,4.5,-1.9,-0.7,0.5,2.0,5.3,-2.1,-0.8,0.2,1.9,4.1,-2.0,-0.8,0.2,1.7,4.4,-2.1,-0.9,0.1,1.5,4.9,5.6
4,-89.125,56.75,-2.1,-0.8,0.2,1.4,4.3,-2.0,-0.8,0.1,1.2,4.5,-2.2,-1.0,0.2,1.5,4.8,-2.1,-0.9,0.2,1.8,4.9,-1.8,-0.7,0.5,2.1,5.3,-2.0,-0.8,0.2,1.9,4.2,-2.1,-0.8,0.2,1.7,4.5,-2.1,-0.8,0.2,1.7,5.0,5.7
5,-89.0,56.75,-2.2,-0.8,0.2,1.4,4.4,-1.8,-0.8,0.2,1.2,4.3,-2.3,-1.0,0.2,1.5,4.6,-2.2,-0.9,0.2,1.5,4.7,-1.8,-0.7,0.5,2.0,5.3,-1.8,-0.8,0.3,1.8,4.2,-2.0,-0.8,0.2,1.8,4.7,-2.2,-0.9,0.2,1.5,5.0,5.8
6,-88.875,56.75,-2.2,-0.8,0.2,1.5,4.5,-1.8,-0.8,0.1,1.1,4.3,-2.2,-0.9,0.2,1.5,4.8,-2.2,-0.9,0.2,1.5,4.9,-1.8,-0.6,0.5,2.2,5.5,-2.0,-0.8,0.3,1.8,4.3,-2.0,-0.8,0.3,1.8,4.8,-2.1,-0.8,0.2,1.5,5.1,5.9
7,-88.75,56.75,-2.2,-0.8,0.1,1.5,4.5,-1.9,-0.9,0.1,1.1,4.3,-2.2,-1.0,0.2,1.5,4.5,-2.1,-1.0,0.2,1.5,4.8,-1.9,-0.6,0.5,2.1,5.4,-2.0,-0.8,0.3,2.0,4.2,-2.0,-0.8,0.3,1.9,4.6,-2.1,-1.0,0.1,1.5,5.0,5.9
8,-89.375,56.625,-2.4,-1.1,0.1,1.7,4.9,-2.7,-1.2,-0.2,1.7,5.4,-2.4,-1.2,0.1,1.7,5.1,-2.7,-1.2,0.2,1.9,5.2,-2.1,-0.7,0.5,2.0,5.7,-2.3,-0.5,0.8,2.5,5.7,-2.3,-1.0,0.3,1.7,5.2,-2.6,-1.1,0.0,1.8,5.6,6.7
9,-89.25,56.625,-2.2,-1.0,0.0,1.3,4.2,-2.0,-0.9,0.0,1.2,4.2,-2.3,-1.0,0.0,1.3,4.6,-2.2,-1.0,0.0,1.4,4.6,-2.0,-0.8,0.3,1.8,5.0,-2.0,-0.8,0.3,1.9,4.1,-2.0,-0.8,0.2,1.6,4.3,-2.1,-1.0,0.0,1.5,4.9,5.7
10,-89.125,56.625,-2.1,-0.8,0.2,1.3,4.3,-1.8,-0.8,0.1,1.2,4.2,-2.2,-1.0,0.1,1.3,4.5,-2.2,-0.9,0.2,1.3,4.8,-1.9,-0.8,0.3,1.9,5.2,-1.9,-0.8,0.2,1.9,4.2,-2.0,-0.8,0.2,1.6,4.5,-2.0,-0.9,0.2,1.5,4.8,5.6
11,-89.0,56.625,-2.2,-0.8,0.2,1.3,4.4,-1.8,-0.8,0.2,1.2,4.2,-2.2,-1.0,0.0,1.3,4.5,-2.2,-1.0,0.2,1.4,4.9,-2.0,-0.8,0.4,1.9,5.2,-1.8,-0.8,0.3,1.8,4.2,-2.0,-0.8,0.2,1.5,4.7,-2.2,-0.8,0.2,1.5,4.9,5.7
12,-88.875,56.625,-2.2,-0.8,0.2,1.3,4.4,-1.8,-0.8,0.1,1.2,4.3,-2.2,-1.0,0.2,1.3,4.4,-2.2,-1.0,0.2,1.3,4.9,-1.8,-0.8,0.3,2.0,5.2,-1.9,-0.8,0.3,1.8,4.4,-2.1,-0.8,0.2,1.6,4.7,-2.2,-0.9,0.2,1.5,5.0,5.7
13,-88.75,56.625,-2.3,-0.9,0.1,1.3,4.5,-2.0,-0.8,0.1,1.1,4.3,-2.3,-1.0,0.1,1.3,4.3,-2.4,-1.0,0.1,1.3,4.8,-2.0,-0.8,0.5,2.0,5.4,-1.9,-0.8,0.3,1.8,4.4,-2.0,-0.8,0.2,1.7,4.7,-2.4,-0.9,0.1,1.6,4.9,5.7
14,-88.625,56.625,-2.2,-0.9,0.1,1.4,4.6,-1.8,-0.8,0.2,1.2,4.3,-2.3,-1.0,0.1,1.3,4.4,-2.4,-1.0,0.2,1.4,4.9,-2.0,-0.7,0.5,2.1,5.4,-1.9,-0.8,0.3,2.0,4.4,-2.0,-0.8,0.3,1.8,4.5,-2.3,-1.0,0.2,1.5,4.9,5.7
