id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
1,-89.0,56.875,1.0,16.6,37.0,65.2,124.1,-3.9,6.1,18.9,44.8,83.4,-2.5,9.6,24.3,45.6,84.9,-3.9,4.6,14.7,31.3,67.5,27.0,66.2,116.7,181.4,262.0,6.1,23.9,53.1,96.9,178.4,2.1,18.5,38.5,65.9,124.4,-3.8,5.3,16.6,34.9,71.3,3.3
2,-88.875,56.875,1.2,17.0,37.3,66.6,128.2,-3.9,7.1,19.4,45.2,93.5,-2.8,9.9,24.6,46.1,87.9,-4.2,4.7,15.1,31.4,69.3,26.8,66.7,119.9,183.5,266.5,7.1,24.5,54.3,101.0,181.5,2.2,18.8,38.5,68.9,125.8,-4.2,4.8,16.7,36.1,73.0,2.9
3,-89.25,56.75,-2.7,11.8,27.5,48.6,95.3,-4.6,3.9,13.6,30.9,65.6,-3.1,6.5,18.7,35.3,67.9,-4.0,3.5,11.9,26.9,55.5,16.4,47.1,87.8,145.3,226.0,-0.9,14.7,33.7,65.9,130.4,-1.5,12.8,29.5,52.7,98.6,-3.7,4.2,13.9,29.5,61.4,3.9
4,-89.125,56.75,-2.4,11.8,27.4,48.9,95.4,-4.6,4.2,13.8,30.9,66.4,-3.3,6.3,19.2,35.1,67.1,-4.3,3.6,12.0,26.8,56.5,17.3,47.6,88.6,146.6,227.4,0.8,14.6,37.1,66.4,130.5,-1.7,12.8,29.5,53.3,99.8,-3.6,4.2,13.8,29.6,61.8,3.6
5,-89.0,56.75,-2.3,11.7,27.7,50.1,96.3,-4.3,4.3,14.4,31.3,66.8,-3.1,6.5,19.6,35.8,70.1,-4.3,3.7,11.7,26.9,56.1,17.6,48.7,89.0,147.3,229.4,1.4,14.6,37.7,67.9,133.8,-1.5,13.3,30.4,53.4,102.1,-4.3,4.2,14.3,30.0,62.1,3.9
6,-88.875,56.75,-2.2,11.9,28.6,50.8,99.4,-4.2,4.3,14.7,31.5,67.8,-3.0,6.6,20.2,36.3,69.9,-3.6,3.9,11.9,27.4,56.0,18.3,49.5,90.3,150.0,231.0,1.5,15.6,38.0,68.9,136.1,-1.7,13.7,30.6,53.7,103.1,-3.6,4.4,14.4,30.6,62.8,3.3
7,-88.75,56.75,-2.2,12.4,28.7,52.2,103.7,-3.9,3.9,15.8,31.9,68.1,-2.6,6.7,20.5,36.9,71.8,-3.9,3.9,12.5,27.4,57.7,19.4,50.5,91.9,151.5,233.6,1.8,15.8,38.3,71.1,139.1,-1.7,13.8,31.3,55.0,103.5,-3.6,4.4,15.0,30.5,64.3,3.3
8,-89.375,56.625,-1.9,12.7,30.4,53.2,104.9,-4.5,4.5,16.5,36.6,71.7,-2.8,7.3,20.5,38.6,73.5,-3.9,3.9,13.2,27.9,58.8,19.3,52.1,95.8,157.2,239.5,0.5,16.1,40.1,77.5,148.7,0.5,15.8,32.6,56.6,106.1,-3.4,4.4,14.1,30.4,64.5,3.4
9,-89.25,56.625,-2.6,11.4,26.5,46.9,92.5,-4.6,4.0,13.2,30.6,62.9,-2.8,6.0,18.1,33.7,66.5,-4.5,3.6,11.7,25.7,54.2,15.5,45.4,83.7,140.3,224.5,-0.6,14.7,32.9,64.9,125.8,-1.6,12.5,28.3,51.0,98.7,-3.9,4.0,13.1,28.7,59.1,3.2
10,-89.125,56.625,-2.8,11.5,26.8,47.7,94.1,-4.6,4.0,13.8,30.6,65.6,-2.8,5.8,18.6,34.7,66.0,-4.6,3.5,11.7,25.9,55.5,15.6,46.1,84.9,142.5,225.6,-0.6,14.8,33.5,65.5,130.5,-1.4,12.9,29.0,51.2,98.4,-4.6,3.9,13.3,29.1,61.2,3.6
11,-89.0,56.625,-2.7,11.6,27.1,48.5,95.0,-4.7,4.6,13.8,30.5,65.2,-2.8,6.1,18.7,34.9,66.9,-4.0,3.5,11.8,26.6,55.5,16.8,46.6,86.2,143.2,227.2,0.4,14.4,35.9,65.8,131.8,-1.7,12.7,29.2,51.8,99.8,-4.0,4.2,13.8,29.4,60.8,3.9
12,-88.875,56.625,-2.0,11.3,27.4,49.4,96.4,-4.3,4.7,13.8,30.7,65.2,-2.8,6.2,18.6,35.0,67.8,-3.7,3.7,11.7,26.3,55.6,17.2,46.6,86.6,143.8,230.2,-1.2,14.4,35.0,67.9,133.1,-1.5,12.9,29.5,52.6,100.8,-3.7,4.3,13.9,29.4,60.4,3.6
13,-88.75,56.625,-1.8,11.8,28.0,49.8,97.1,-3.7,4.3,14.6,30.7,67.0,-2.9,6.2,19.2,35.5,68.7,-3.6,3.6,12.0,26.0,56.6,17.6,47.8,87.4,145.9,230.5,1.7,14.7,35.0,68.7,133.1,-1.7,13.7,29.5,52.9,101.0,-3.5,4.4,14.1,29.5,62.7,3.6
14,-88.625,56.625,-2.2,11.8,28.2,50.6,99.1,-4.0,3.8,13.5,30.5,61.5,-2.9,6.4,19.5,36.2,69.2,-3.7,3.8,11.9,26.2,55.9,17.7,49.4,88.6,147.4,228.8,-1.7,15.1,35.1,66.4,131.8,-1.7,13.7,29.8,52.7,100.0,-3.4,4.2,13.9,29.8,61.0,3.3
15,-88.5,56.625,-1.8,11.8,28.7,50.9,99.9,-4.0,3.9,13.9,30.6,63.2,-2.9,6.6,19.9,36.1,70.3,-3.9,3.5,11.9,26.6,55.4,19.0,49.7,89.4,147.9,229.3,-1.8,16.2,34.8,68.7,135.8,-1.7,13.9,30.4,53.0,102.0,-3.9,4.2,14.1,29.2,61.8,3.3
16,-88.375,56.625,-1.9,12.1,28.5,51.5,101.7,-3.9,3.9,14.2,30.1,62.9,-2.9,6.8,20.0,36.6,71.0,-3.7,3.5,12.0,27.1,55.8,19.1,50.6,91.1,149.7,230.1,1.5,16.2,36.1,68.9,135.8,-1.4,14.1,30.7,53.6,102.0,-3.6,4.4,14.0,29.8,63.2,3.3
17,-89.625,56.5,-2.2,10.5,25.1,44.8,87.6,-4.6,3.4,12.1,29.3,59.4,-2.7,5.4,17.1,31.6,61.1,-4.4,3.0,11.2,24.4,49.3,13.0,41.8,78.3,132.5,211.8,-2.1,12.9,31.3,60.4,112.7,-1.9,12.1,26.8,48.1,92.2,-4.4,4.0,12.4,27.3,57.8,3.2
18,-89.5,56.5,-2.5,10.8,25.8,45.1,89.2,-4.3,3.4,12.3,29.6,62.0,-2.9,5.4,17.4,32.1,62.7,-4.4,3.2,11.3,24.7,51.4,14.5,43.0,79.8,134.4,214.5,-2.1,14.3,31.4,60.7,118.2,-1.8,12.4,27.5,48.4,94.1,-4.4,4.0,12.9,27.7,56.4,2.9
19,-89.375,56.5,-2.5,10.8,25.8,45.6,91.4,-4.6,3.6,12.7,29.5,61.1,-3.0,5.5,17.6,32.5,63.4,-4.3,3.5,11.5,25.2,52.5,14.8,43.5,80.3,136.2,220.2,-2.2,13.7,32.5,61.6,123.5,-1.6,12.5,27.6,49.1,96.0,-4.1,4.1,12.8,27.8,57.5,3.2
20,-89.25,56.5,-2.6,11.0,26.5,46.5,92.5,-4.6,3.9,12.4,29.9,62.9,-3.1,5.6,17.9,33.2,65.4,-4.2,3.6,11.5,25.2,54.1,15.5,44.3,80.9,138.4,223.0,-0.6,14.0,32.8,63.5,124.8,-1.5,12.4,28.3,50.2,96.1,-4.1,4.1,13.0,28.4,59.1,3.2
21,-89.125,56.5,-2.6,11.2,26.3,47.1,93.2,-4.5,4.2,13.4,29.9,62.9,-2.8,5.7,17.9,33.2,65.7,-4.3,3.6,11.6,25.3,54.2,15.3,45.3,81.9,139.2,223.4,-0.6,14.1,32.8,64.9,125.9,-1.6,12.4,28.2,50.0,98.0,-4.3,4.1,13.1,28.5,60.1,3.6
22,-89.0,56.5,-2.7,11.5,26.7,47.8,94.2,-4.6,4.2,13.3,30.2,64.5,-2.8,5.7,18.2,34.6,66.2,-4.0,3.5,11.6,25.7,54.5,15.4,45.6,84.5,141.5,225.2,-1.0,14.1,33.3,65.5,129.9,-1.5,12.7,29.0,50.9,98.2,-3.4,4.2,13.2,28.7,59.3,4.0
23,-88.875,56.5,-2.5,11.5,27.2,48.1,95.0,-3.8,4.3,13.9,30.8,64.8,-2.9,5.7,18.1,34.6,66.8,-3.6,3.7,11.7,25.9,54.7,15.8,45.7,84.3,142.7,227.7,-1.3,14.7,33.2,66.8,131.8,-1.7,12.9,29.2,51.2,99.5,-3.3,4.3,13.5,28.7,59.3,3.9
