-11.2,0.9,24.6,-9.6,-1.6,25.3,-11.5,-1.2,24.2,-11.9,-1.7,25.2
-7.5,5,25.7,-2.7,8.4,26.5,-8.1,4.8,26.5,-9.4,6.7,25.4
-5.8,10.5,29.6,2.7,17.7,34.2,-5.1,10.4,29.1,-4.8,12,32.7
-6.5,8.1,34.1,-1.4,7.7,32.3,-6.5,7.9,33.9,-2.4,7.6,36.5
-8.4,3.3,22,-7,3.1,23,-8.7,2.4,21.1,-8.7,2.2,18.4
-11.9,11.4,26.7,-9.1,11.2,27.6,-12,10.7,25.1,-12.3,12.9,25.4
-7.7,3.4,26,-6.5,1.7,16.5,-7.9,3.1,30.2,-6,3.4,30.5
-7.2,4.3,22.9,-6.5,6.6,33.9,-7.3,4.2,27.7,-8.9,4.7,36.8
-13.6,5.1,19.7,-19.9,-0.4,17,-14.5,5.4,19,-16,5,18
-13.8,-2.4,14.9,-11.9,3.9,24,-15.3,-2.7,14.4,-12.2,-2.5,15.1
-15.3,-1.6,12.9,-13.8,-2.7,14.9,-12.4,-1.9,11.7,-13.1,-1.7,14.4
-7.4,9.4,26.2,-7.1,10.7,23.2,-7.6,9.6,26,-7.8,9.9,26.8
-9.3,4.4,27.1,-17.5,1.7,19,-12,4,27.6,-7.6,4.3,31.8
-17.2,-1,18.1,-11.3,2.7,19.4,-17.7,-1.2,18.3,-17.5,2.5,17.5
-13.4,0.1,17.3,-11.3,7,16.4,-14.1,-0.2,15.7,-11.3,0.9,19.4
-8.8,-1.1,16.7,-14.3,0.3,15,-9.8,-1.4,18.1,-11.4,-1,9.7
-15.2,-3.2,19.5,-19.5,-5,31.6,-15.8,-0.7,25.2,-16.5,-4.2,35.1
-14.8,-1.9,17.4,-15,-0.8,24.6,-15.1,-2,18,-15.4,-1.8,20.2
-14.7,-0.5,9.7,-15.2,-2.5,8.7,-15.3,-0.5,8.8,-15.6,-1.4,7.4
-16.9,-6.4,7.9,-14.2,-5.3,8.1,-17.8,-6.3,7.7,-15.8,-7.2,10.2
-13.6,-0.7,20.3,-11.4,-2.5,9.3,-13.3,-1,20.9,-13.7,-2.5,15.4
-18.5,-5.4,5.7,-18.2,-4.5,23.1,-19.4,-6,6.2,-18.4,-5.2,8.5
-17,-5.1,11.3,-15.8,-10.4,8.7,-18,-5.6,9.6,-18.7,-7.1,10.6
-16.2,-4.1,8.3,-16.9,-8,6,-16.8,-4,7.5,-17,-4.1,9.3
-16.2,-4,13.4,-15.9,-3.7,21.2,-16.5,-3.9,12.3,-16.7,-4.5,13.6
-12.2,-2.1,13.7,-12.7,0.2,8.6,-17.2,-3.4,15,-15.7,-0.4,33.6
-16.5,-2.8,12.1,-14.5,-1.2,18.2,-17.7,-2.9,16.4,-17.1,-1.7,21.2
-18.1,-4.2,8.5,-8.5,2,18.5,-15.6,-2.5,18.1,-18.3,-2.6,10.2
-18.2,-1.2,16.3,-12.5,-0.6,25,-16.5,-1.2,17.1,-22,-7.8,9.1
-19.7,-2.5,14.2,-15.7,-8.1,13,-14.8,-4.4,15.7,-16.1,-4.7,13.8
-15.3,-2.2,10.7,-19.1,-7.5,14.8,-17.9,-7.8,12,-18.2,-2.8,19.2
-18.8,-4.9,11.8,-16.2,-4.1,12.1,-14.1,-5.2,10.4,-16.9,-6.6,19.5
-18.3,-8.4,12.7,-16.5,-5.6,14,-20.9,-2.8,27.6,-20.9,-7.9,8.8
-21,-6.6,13.2,-16.8,-6.7,14.9,-18.4,-4.6,10,-18.9,-6.7,18.4
-17.7,-7.7,9.2,-18,-2.9,20.8,-17.2,-5.7,8.9,-21.2,-11.1,5.7
-17.6,-7.5,5.6,-18.4,-7.1,7.2,-17.4,-7.8,12.4,-21,-9.2,2.2
-19.3,-9.8,15.3,-8.8,-0.6,30,-20.5,-3.9,24.5,-18.1,-7.5,6
-21.8,-4.5,11.8,-20.9,-8.2,10.9,-17.7,-4.6,13.5,-16.6,-7.4,6.6
-19,-6.9,10.4,-20.3,-9.1,5.9,-20.4,-7.9,13,-20.5,-9.2,5.3
-21.2,-9.1,10,-23.3,-2.3,15.6,-20.3,-0.9,17.2,-20.1,-7.8,7.4
-16.7,-4.6,9,-21.1,-12.8,2.1,-17.1,-7.1,15,-21,-11.8,8.5
-19.6,-11.1,7.9,-14.7,-9.1,11.6,-16.3,-7.8,23.1,-22.7,-8,13.8
-21,-12.5,4.2,-15.7,-10.6,18.1,-19.6,-9.5,9.9,-21.8,-11.8,10.7
-21.1,-11.1,2.7,-14.6,-3.4,24.7,-21.2,-12.1,16,-23.5,-11.5,10.7
-21,-9.5,5.5,-23.6,-7.1,9.1,-21.2,-10.1,8.8,-17.2,-9.9,25.8
-23.9,-5.8,7.2,-23.7,-12,29,-20.2,-10.6,8.1,-19.2,-9,11.7
-23.2,-11.7,9.5,-21.5,-7.5,6.9,-26.1,-14.5,7.6,-20.6,-9.2,7.5
-23.2,-10.1,11.2,-16.2,-8.3,5,-24.2,-10.9,14,-23.2,-12.5,7.7
-22.5,-13.4,5,-18.8,-7.5,6.8,-23.1,-10,22.4,-19.5,-8.1,0.7
-23.3,-14.8,-1.6,-20.6,-10.6,5.7,-20.3,-7.3,11.4,-22,-9.9,10.5
-18.9,-9.7,6.8,-24.8,-6.4,3.2,-25.1,-12.6,11.3,-24.7,-10.5,12.8
-23.6,-13.4,3.1,-22.6,-6.4,4.2,-21.8,-9.2,13,-23.4,-9.3,9.4
