-164.6,6.1,112.6,-135.4,11.5,109.4,-159.9,-17.1,115.5,-136.9,-12.1,119.5
-99.3,-7.2,81.4,-66,-12.3,50,-93.5,0.1,93.5,-85.1,-1.6,100.2
-165.3,-14.2,107.2,-132.2,-19.7,71.9,-158,-16.9,108.9,-159.1,-15.4,111.8
-154.3,-44.3,78.3,-100.6,-63.4,58.2,-152.5,-42.7,86.7,-155,-39.8,87.4
-131,-20.3,94.8,-91.9,8.2,65.9,-128.6,-26,98.3,-94,-23.7,106.7
-109.4,-5,108.7,-92.2,-19.2,94.9,-102,-1.8,124,-94.2,-1.4,132.4
-164.9,-21.5,125.5,-56.5,19.8,151.6,-157.8,-15.3,133.4,-87.5,-4.1,175.2
-132.8,-4.1,131.6,-115.1,-5,177,-129.2,-3.7,148,-116,-1,207.8
-130.5,12.5,118.1,-103.3,0.9,200.9,-129.6,16.4,119.9,-136.2,24.8,176.3
-147.9,-2.3,163,-33.9,23.1,148.1,-153.7,2.1,149.4,-164.8,26.6,186.2
-114.7,-14.7,114.5,-104.1,-35.5,93.6,-116.1,-10.6,103.7,-94.2,-0.2,139.7
-146.4,-29.4,90.8,-163.5,-54.7,54.4,-139,-21.4,101,-137.6,-41.8,91.8
-134,-12.6,118,-92.7,0.3,91.4,-126,-30.6,105,-125.4,-28.2,102.8
-124,-15.7,200.5,-84.8,7.1,56.9,-121.3,-10.1,208.9,-137,-7.8,96.8
-118,-5.5,133.4,-89.2,22.4,83.9,-111.5,-19.6,136.7,-105.6,-18.9,122.9
-102.7,-9.4,115,-107,-29.9,88.2,-92.9,1,127.7,-77.4,4.8,142.5
-143.3,17.2,134.6,-140.7,8,62.5,-147.2,20.3,141.6,-147.9,5.5,135.3
-106,20.4,132.5,-61.8,18.5,101.1,-102.5,13,139.7,-104.1,-3.8,137.4
-112.4,12.1,147.8,-79.9,9.4,91.7,-107.6,19.1,149.8,-104.9,4.4,139.4
-112,-11.9,144.3,-115.1,-13.2,113.3,-104.9,-14.8,155.5,-115.5,-9.9,170.7
-99.8,30.5,136.1,-47.7,-13.6,86.4,-94.9,24.5,140.9,-123.8,20.7,152.1
-89.5,7.8,141.1,-57.7,14.8,139.2,-86,10.3,144.8,-70.9,16,153.2
-120.7,4.5,101.6,-55.1,37.4,105.3,-116,3,104.5,-101.2,0.5,128.3
-136.3,4.1,101.4,-130.2,-29.8,106.8,-129.1,2.6,92,-116.6,6.9,124.5
-156.9,22.7,142.2,-107.7,39.4,129.7,-155.1,15.8,157.8,-166.8,7.2,177.8
-84.6,16.9,152.2,-68.8,47.4,187.3,-121.6,-0.2,116,-142.6,19.8,128.3
-113.6,11.1,176,-75.4,44.5,131.9,-96.4,12.7,164.2,-101,0.8,151.5
-116.6,-4,112.6,-103.2,42.4,136.6,-105.2,5.1,119.8,-65.5,15.2,167.5
-141,3.1,119.6,-118.2,40.3,115.5,-151.3,6.6,149.5,-112.6,31.5,161
-97.9,33.3,208.3,-49.9,86.4,151.7,-91.5,4.8,120.7,-97.8,14.3,171.1
-90.1,26.9,118,-188.1,4,125.4,-142.6,5.3,138,-114.2,12,169.1
-118.8,10.2,119.8,-94.4,8.1,121,-120.8,23.5,148.5,-135.6,-7,103.4
-109.6,20.5,154.9,-131.3,39.9,205.8,-108.6,27.5,167.1,-115,24,149
-82.8,2.2,145.5,-74.2,30.8,210.6,-148.5,32.1,128.4,-62,49.5,229.2
-107.4,-8.4,159.7,-52,6.2,121,-101.4,30.7,170.3,-87.5,4.6,139.9
-127.1,10.9,208.6,-74.3,-15.1,67.8,-85.4,26.8,153.4,-80.2,7.1,103.3
-103.7,23.5,138.7,-71.4,22.7,215.8,-149.2,0.1,145.1,-60.2,16.3,164.6
-102,17.5,130,-85.4,1.7,168.9,-91.3,25.7,134.7,-80.5,19.5,164.7
-92.3,10.5,119.3,-121.7,15.4,125.1,-116.4,10.1,149.8,-124.6,28.8,148.7
-133.6,-4,151.1,-63.3,5.1,106.3,-93.7,22.4,164,-84.5,44.5,176.7
-128.4,7,163.5,-92.4,-8.5,130.3,-104.2,22.7,172.2,-123.5,11.3,138.4
-132.3,31.7,145.1,-171.4,44.5,135.1,-99.6,36.3,207.4,-78.2,14.2,146.2
-71.6,23.3,248.7,-70.4,40,107.4,-69.7,29.1,149.2,-89.6,40.7,187.7
-112.8,0.3,145.3,-45.9,37.9,151.3,-93.4,21.7,144.9,-112.4,43.7,171.6
-126.2,45.6,158.6,-63.5,26.9,161.6,-100.3,44.2,197.8,-89.5,28.3,169.4
-132.1,29.6,172.7,-77.4,8.5,181.3,-87.7,26.5,177,-94,34.1,185.3
-109.4,43,156.2,-60.8,36.4,125.3,-78.7,25.4,149,-105.7,34.6,144.8
-84.1,47.2,176.6,-116.3,27.6,115,-94.7,35.4,164,-73.9,36.3,164.8
-101.9,45.1,186.9,-101.5,52.9,199.3,-109.8,28,169.4,-106.6,18.6,215.7
-99.1,39.6,167.8,-100.8,33.1,212.7,-111.2,16.9,218.8,-58.2,35.1,166.5
-111.4,39.9,195.7,-119.1,-3.7,190.6,-101.8,27.2,196.1,-116.6,30.6,206.1
-60.8,48.2,211.7,-109.3,22.8,143,-96,19.4,181.4,-70.5,62.7,188.3
-127.8,48.1,176.8,-88,39.1,142.2,-96.3,48.7,162.7,-77.6,64.4,153.3
-117.7,11.2,152.9,-64.7,10.7,117.2,-112.6,26.9,160.8,-91.8,24.6,166.7
-146.7,41.9,155.1,-46.2,99.9,258.1,-100.6,12.3,163.7,-34.8,56,169.1
-47.6,32.8,166.1,-19.4,60.6,214.1,-112.9,46.4,170.9,-101.7,67.5,191.4
-83.9,41.9,225.6,-54.2,44.8,212.1,-104.4,57.5,236.1,-154.8,77.2,208.3
-133.9,40,195.1,-90.6,-7.5,115.7,-115.2,35.7,240.1,-109.5,68.4,222.8
-75.9,58.2,167.2,-70.5,40.2,165.5,-41.3,63.9,227.7,-75,21.2,174.2
-70.2,61.4,190,-32.6,43.4,160.5,-61.4,53.8,175.9,-69.6,36.1,213.8
-66.9,59.9,185.2,-44,84.7,148,-117.5,24.3,153.5,-62.2,60.7,271.1
