-13.5,-1.6,11.5,-14.7,-0.5,17.6,-13.7,-1.7,11,-14.7,-2.1,11.3
-13.2,-2,10.7,-9.5,-1.7,8.8,-14.1,-0.8,14.1,-9.2,-1.8,18.5
-15.5,-0.5,10.9,-15.5,-1.4,8.2,-16.2,-0.5,8.8,-17.3,-2.6,5.9
-14.5,-2.3,7,-13.4,-6.2,7.9,-14.8,-2.2,5.8,-15.5,-3.7,5.9
-13.3,1,12,-8.7,1.3,11.8,-14.4,1.2,10.3,-12.6,3.5,10.1
-6.8,-0.2,10.7,-10.5,-1.4,18.2,-6.9,-0.5,10,-6.5,-1.5,12.2
-19.3,-3.6,10.8,-17,-0.5,14.7,-19.3,-4,12,-16.4,-2.3,14.5
-13,-1,10.6,-10.9,2.2,16.7,-13.3,-1,11.4,-14,0.5,12.7
-13.8,2,21.5,-10.7,-0,23,-14.6,1,21.5,-16.4,3.2,22.1
-17.2,-2.1,14.7,-6.8,4.2,18.9,-17.3,-2.2,15.2,-14.6,0.6,16.3
-15.4,-3.1,9.5,-16.3,-2.3,8.7,-13,-3.2,9.3,-14.9,-3.1,9.7
-16.2,0.4,10.2,-22.2,-7.7,10.2,-15.9,1.1,10.2,-17.4,-0.6,10.3
-12,-2,7.7,-11,-0.5,9.8,-12.1,-2.4,5.6,-11.9,-3.2,5.7
-15.2,0.6,16.7,-7.3,1.6,8.7,-15.8,0.4,16.7,-18.4,-1.4,12.5
-6.4,2.3,13.9,-7.1,-1.2,14.9,-6.4,2.1,10.8,-6.4,-0.5,12.8
-10,0.2,14,-8.7,-1.4,13.6,-7.8,1.1,14.1,-8.2,2.4,13.1
-16.6,-2.1,12.5,-14.4,-0.8,10.2,-16.5,-0.3,12.4,-16.4,-2.1,13.8
-5.6,2.7,11.7,-7.1,2.8,13.3,-3.5,2.9,11.2,-6.4,3.4,10.3
-10.6,2.5,11.5,-4.4,2.9,11.4,-5.9,2.7,11.6,-5.8,2.2,10.6
-12.1,0.5,10.3,-11.1,-3,10.2,-11.7,0.9,11.1,-11.6,0.3,12.2
-8.9,1.5,12.7,-8.7,1.2,15.1,-9,0.4,12.7,-9.3,-0.2,13.2
-9.6,1.8,11.9,-9,2.6,13.4,-8.8,2.1,12,-8.7,2.2,12.2
-8.4,0.6,10.3,-4.8,2.4,15.1,-8,0.4,9.5,-9,1.2,11
-13.4,-3.2,9.9,-23.5,-0.8,14.5,-14.2,-3.6,9.4,-15.6,-2.6,13.5
-16.1,2,10.4,-14.8,-0,13.9,-16.5,2.1,10.1,-19.7,0.8,12.2
-16.2,2.3,11.5,-16.4,8.2,18.6,-14.5,0.4,8,-13.8,0.4,15.2
-9.7,2.9,14,-8.6,5,12.5,-11.3,3.5,11.3,-9.5,3,12.7
-10.5,1.1,8.8,-10.5,2.7,14.6,-10.8,-0.2,7.9,-9.4,2.3,13.4
-10.2,-1.6,8.4,-13.3,-0.5,8.6,-14.4,1.1,12.1,-13,1.9,15.8
-15.7,0.4,16.6,-4.5,1.7,19.3,-12.3,-1.2,10,-13.8,-0.9,11.4
-11.2,2.1,12.3,-18.9,-3.4,13.6,-14.1,2,13.8,-9.1,0.4,11.4
-9.9,-1.2,16,-11.5,-1.4,11.2,-12.8,-1.1,11.2,-15.2,-1.6,11.8
-10.7,2.2,12.6,-21.6,4.4,12.3,-9.9,2.2,11.6,-12.6,2.5,10.6
-12.1,1.9,12.1,-12.6,1.9,20.4,-14.7,1,10.3,-6.8,4.5,15.8
-12.1,0.7,14.2,-10.7,-2,14.9,-10.5,2.3,13.7,-11.2,1.5,10.8
-10.5,-0.5,12.8,-10.2,1.7,9.6,-9.7,2.7,14.2,-11,1.8,10.4
-11.9,2.4,10.5,-8.3,5.3,15.4,-14.7,1.3,12.1,-11.5,1.7,12.7
-10.9,-0.9,11.9,-8.7,1.2,15.1,-8.8,1.9,14.3,-10.1,2.3,13.4
-9,2.1,9.4,-14.7,-1.3,16.1,-14.3,-0,15.7,-10,1.2,7.3
-16.2,-1.3,11.5,-8.1,-0.9,7.6,-11,1.1,13.2,-13.7,3.7,10.9
-13.8,-1.8,13.5,-13.8,-2.9,13.3,-10.3,3.6,13.9,-14.7,-2.7,8.4
-11.5,-0.6,8.4,-15.6,-0.9,16.2,-10.2,1.9,14.6,-10.2,0.7,12
-10.3,0,21.4,-12.5,2.6,13.1,-8.6,1.2,13.1,-5.8,3.3,17
-11.7,3,13.5,-7.7,4.4,12.8,-17.3,0.3,12,-8.4,0.6,10.1
-11.7,1.9,11.5,-10.7,3.8,21.3,-13.2,0.1,12.4,-10.1,3.1,14.6
-11.7,1.4,11.3,-8.8,-0.1,15,-11,1,13.3,-12.2,5.8,14.2
-12,3.4,10.4,-7.8,4,15,-14,2,13.9,-12.7,3.3,14.2
-11,3.5,15,-17.7,4.6,12,-12.1,-0,14.5,-12.5,0.6,12.7
-11.8,3,14.1,-13.9,3,18,-10.3,2.6,14,-8.2,1.5,15.7
-11.7,-0.4,12.8,-11.4,5.2,16.4,-12.9,0.5,17,-10.8,-0.2,15.6
-8.4,3.6,15.8,-16.9,-0.9,11.9,-10.7,2.8,16,-11.7,6.1,15.8
-8.3,1.9,15.2,-10.2,3.2,12.3,-10.1,2.3,16.1,-10.2,3.3,14.8
-14,2.1,10.7,-8.4,3.8,21.7,-13.2,2.4,15.8,-3.7,3.5,14.8
-11.4,1.7,11.3,-13.5,1.7,14.2,-11.9,2.8,14.1,-7.8,1,19.8
-12.3,2.4,12.7,-4.8,4.5,24.3,-14.9,-1.6,8.3,-9,3.1,19.2
-11.9,3.8,19.5,-7,7.6,19.7,-7.7,5,18.8,-14.3,5.5,19
-8.5,2.1,21.4,-6,1.8,20.8,-13,3.8,18.2,-6.6,9,25.2
-14.8,0.6,13.3,-11,0.4,15,-13.7,-0.5,14.8,-12.9,2.7,18
-8.7,2.1,13.7,-9.2,2.6,18.5,-8.1,3.5,16.4,-10.6,2.9,12.1
-10,3.4,17.1,-9.3,3.8,13.2,-5.6,4.8,18.5,-12.3,3.1,16.4
-5.6,4.1,17.1,-11.9,7.2,13.9,-9.4,1.7,11.6,-7.7,5.6,18.3
-19,4.9,16.6,-8.9,2.9,13.2,-14.8,4.7,17.4,-9.4,4.1,13.5
-8.7,5.8,15.2,-5.5,4.7,22,-11.7,2.4,14.1,-9.3,4.1,18.4
-8.6,3.5,15.9,-20.7,4.8,14.8,-9.9,3.4,16.8,-4,7.1,20.6
-10.2,4,18.5,-6.5,7.5,16,-8.7,3.8,14.9,-11.6,5.8,17.2
-6.6,5.7,14,-4.7,4,15.4,-7.9,4.2,13.6,-12.2,3.9,19.3
-6.3,2.9,15.3,-5.6,5.4,15.4,-7.3,0.7,14.6,-10,2.5,23
-10.5,1.9,16.7,-2.6,5.6,18.3,-14.6,1.4,12.2,-9.1,3.2,20.8
-9,4.1,16.5,-15.6,2.6,16,-10.7,5.4,18.7,-7,5.7,18.1
-7.8,6,20.8,-15.2,2,12.6,-8.6,4.6,18.3,-8.8,7.4,19.1
-8,2.9,14.2,-14.4,2.9,15.9,-10.7,2.2,18.4,-8.7,1.6,14.7
-15.3,1.4,15.6,-12.3,5.2,16.3,-9,1,19.2,-13.1,2.1,13.6
-12.5,1.8,14.7,-6.7,6.1,23.5,-13.9,3.1,19.5,-11.3,7.7,22.7
-8,4.4,16.1,-7.2,7.5,16.3,-9.1,4.4,21.5,-6.7,4,16.3
-8.3,0.8,17.2,-10.8,1.2,7.6,-8.1,3.1,19.2,-7.8,3.8,18.4
-10.7,2.1,18.3,-6,2.4,15.7,-5.1,4.7,19.6,-12.7,0.9,15.2
-11,3.5,19.7,-12.7,2.9,21.3,-11.8,4.6,21.2,-9.5,2.8,15.8
-14.2,3.4,20,-12.3,6.3,19.7,-12.3,2.5,18.5,-9.2,3.7,11.4
-7.7,6.2,19.7,-3.6,3.7,16.5,-10.7,3.3,17.5,-4.7,5.1,19
-10.4,6,24.3,-4.6,4.6,21.1,-9.9,5.6,18.2,-11.2,3.5,15.5
-14.9,3.4,19,-9.9,0.2,15.2,-10.1,4.3,14.7,-10.7,2.5,16.5
-12.1,4.2,18.8,-13.8,-2.9,10.6,-9.5,2.9,15.7,-9.1,5.6,14.4
-7.9,6.7,15.4,-9.7,3.3,19.2,-16.3,3.3,14.8,-10.5,5.2,19.2
-13,5.1,20.1,-9.1,4.7,24.6,-9.2,4.4,16,-11.8,5.2,20.3
-10.9,3.4,24.8,-9.6,-1.8,17.8,-7.1,3.5,17.7,-9.3,3.7,14.4
-10.7,3.9,17.5,-16.1,0.1,13.8,-10.4,3.6,16.2,-0.4,8.5,16.8
-11.6,2.5,15.6,-9.3,6.4,12.2,-10.8,6,16.2,-8.7,6.1,17.7
-7.5,6.5,23.2,-16.6,8.7,23.5,-6.9,3.9,21.1,-8.1,2.1,14.5
-5.4,7.3,23.8,-9.2,9.3,18.2,-10.8,2.9,15.6,-7.4,5.9,18.1
-11.5,9.6,21.6,-6.9,7.4,23,-18.2,-1.3,14,-11.3,6.9,14.6
-6.6,5.6,16.8,-8.4,3.4,25,-9.9,4,18.6,-8.4,5.9,16.8
-12.3,5.2,19.3,-7.9,3.5,13.2,-9.4,6.6,15.6,-9.1,5,22.8
-11.4,7.5,23.9,-6.7,1.2,15.9,-12.2,2,17.4,-11.9,1.8,18
-9.4,9.5,27.7,-5.1,4.1,14.6,-4.1,6.6,14.4,-6.9,5.1,24.7
-10.8,1.7,17.6,-11,8.5,17.7,-7.9,4,16.8,-11,2.4,14.6
-10.5,6.6,18.6,-17.3,6.4,15.2,-13.1,5.4,17.7,-13,-0.7,23.4
